Publisher Name,Type,Location,Country,Genres/Focus,Contact Email,Phone,Address,Website,Submissions Email,Annual Output,Has Audiobooks,Priority Tier,Notes
Enchanted Lion,Traditional,Brooklyn NY,USA,"Children's picture books, illustrated",Via website,N/A,Brooklyn NY,enchantedlion.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Award-winning design"
Jolly Fish Press,Traditional,USA,USA,"MG, YA fiction all genres",Via website,N/A,N/A,jollyfishpress.com,Via website,N/A,Unknown,High,"Since 2012"
Sourcebooks,Traditional,Naperville IL,USA,"Self-help, parenting, romance, nonfiction",Via website,N/A,Naperville IL,sourcebooks.com,Via website,300+,Some,Medium,"Fastest-growing indie"
Tell-Tale Publishing,Traditional,USA,USA,"Romance, fiction, ebooks",Via website,N/A,N/A,telltalepublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2009"
Literary Wanderlust,Traditional,Denver CO,USA,"Romance, fiction",Via website,N/A,Denver CO,literarywanderlust.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2014"
Inkspell Publishing,Traditional,USA,USA,"Romance, ebooks",Via website,N/A,N/A,inkspellpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2011"
Black Lyon Publishing,Traditional,Oregon,USA,"Romance novels",Via website,N/A,OR,blacklyonpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Established romance"
Page & Vine,Traditional,USA,USA,"Romance, BookTok trending",Via website,N/A,N/A,pageandvine.com,Via website,N/A,Unknown,High,"Founded 2022"
City Owl Press,Traditional,USA,USA,"Romance, speculative fiction",Via website,N/A,N/A,cityowlpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Indie romance/SFF"
Hera Books,Traditional,UK,UK,"Romance, commercial fiction, digital",Via website,N/A,UK,herabooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Female-led digital"
NineStar Press,Traditional,New Mexico,USA,"LGBTQ+ romance, erotica",Via website,N/A,NM,ninestarpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2015"
Bold Strokes Books,Traditional,USA,USA,"LGBTQ+ fiction, romance",Via website,N/A,N/A,boldstrokesbooks.com,Via website,N/A,Some,Medium,"Good print distribution"
Dreamspinner Press,Traditional,USA,USA,"Gay male romance",Via website,N/A,N/A,dreamspinnerpress.com,Via website,N/A,Some,Medium,"Multiple categories"
Blind Eye Books,Traditional,USA,USA,"LGBTQ+ mystery, fantasy, romance",Via website,N/A,N/A,blindeyebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"LGBTQ+ focus"
Bella Books,Traditional,USA,USA,"Lesbian romance, fiction",Via website,N/A,N/A,bellabooks.com,Via website,N/A,Some,Medium,"Women-loving-women"
JMS Books,Traditional,USA,USA,"LGBTQ+ romance, YA",Via website,N/A,N/A,jms-books.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Small electronic press"
Bookouture,Traditional,UK,UK,"Commercial fiction, romance, thrillers",Via website,N/A,UK,bookouture.com,Via website,N/A,Yes,Low,"Hachette digital"
Decadent Publishing,Traditional,USA,USA,"Romance fiction all heat levels",Via website,N/A,N/A,decadentpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Romance only"
Boroughs Publishing,Traditional,USA,USA,"Romance novels, novellas",Via website,N/A,N/A,boroughspublishinggroup.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"E-publisher"
Evernight Publishing,Traditional,Canada,Canada,"Romance, erotica ebooks",Via website,N/A,Canada,evernightpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Digital focus"
Entangled Publishing,Traditional,USA,USA,"Adult and YA romantic fiction",Via website,N/A,N/A,entangledpublishing.com,Via website,N/A,Some,Medium,"Large indie romance"
Small Beer Press,Traditional,Massachusetts,USA,"Sci-fi, fantasy, speculative",Via website,N/A,MA,smallbeerpress.com,Via website,6-10,NO AUDIOBOOKS,TIER 1,"Hot indie SFF"
Subterranean Press,Traditional,Michigan,USA,"Sci-fi, fantasy, horror, dark mystery",Via website,N/A,MI,subterraneanpress.com,Via website,30-50,Some,Medium,"Limited editions"
Angry Robot,Traditional,UK,UK,"Sci-fi, fantasy, urban fantasy",Via website,N/A,UK,angryrobotbooks.com,Via website,N/A,Some,Medium,"Watkins Media"
Baen Books,Traditional,USA,USA,"Sci-fi, fantasy",Via website,N/A,N/A,baen.com,Via website,N/A,Yes,Low,"Established SFF"
Second Sky,Traditional,UK,UK,"SFF digital imprint",Via website,N/A,UK,bookouture.com,Via Bookouture,N/A,NO AUDIOBOOKS,TIER 1,"Bookouture SFF"
Storm Publishing,Traditional,UK,UK,"Commercial fiction, SFF",Via website,N/A,UK,stormpublishing.co,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Digital-first"
Solaris Nova,Traditional,UK,UK,"SFF, horror digital",Via website,N/A,UK,solarisbooks.com,Via website,N/A,Unknown,High,"Rebellion digital"
Rosarium Publishing,Traditional,USA,USA,"Diverse speculative fiction, comics",Via website,N/A,N/A,rosariumpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2013"
Montag Press,Traditional,USA,USA,"Experimental, weird, speculative fiction",Via website,N/A,N/A,montagpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Subversive fiction"
Apex Publications,Traditional,USA,USA,"Horror, dark fantasy, speculative",Via website,N/A,N/A,apexbookcompany.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2004"
Eraserhead Press,Traditional,USA,USA,"Bizarro fiction, speculative",Via website,N/A,N/A,eraserheadpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Bizarro specialist"
Tartarus Press,Traditional,UK,UK,"Supernatural, strange, horror fiction",Via website,N/A,UK,tartaruspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Limited editions"
World Weaver Press,Traditional,New Mexico,USA,"Fantasy, paranormal, sci-fi",Via website,N/A,NM,worldweaverpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"All-female team"
The Parliament House,Traditional,USA,USA,"Fantasy, paranormal, urban fantasy",Via website,N/A,N/A,theparliamenthouse.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2016"
Aethon Books,Traditional,USA,USA,"Sci-fi, fantasy all subgenres",Via website,N/A,N/A,aethonbooks.com,Via website,N/A,Some,Medium,"Print and ebook"
Rebellion Publishing,Traditional,UK,UK,"Sci-fi, fantasy (Solaris, Abaddon)",Via website,N/A,UK,rebellion.co.uk,Via website,N/A,Unknown,High,"Multiple imprints"
Hydra House,Traditional,USA,USA,"SF, fantasy, horror",Via website,N/A,N/A,hydrahousebooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2008"
Hellbender Press,Traditional,Pennsylvania,USA,"Fantasy, sci-fi, horror",Via website,N/A,PA,sunburypress.com,Sunbury imprint,N/A,NO AUDIOBOOKS,TIER 1,"Sunbury imprint"
Hard Case Crime,Traditional,USA,USA,"Hard-boiled crime, noir",Via website,N/A,N/A,hardcasecrime.com,Via website,N/A,Some,Medium,"Stephen King publisher"
Brash Books,Traditional,USA,USA,"Thrillers, mysteries, crime",Via website,N/A,N/A,brash-books.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Mystery novelists run"
Crooked Lane Books,Traditional,USA,USA,"Crime, mysteries, cozies",Via website,N/A,N/A,crookedlanebooks.com,Via website,N/A,Some,Medium,"PRH distribution"
Joffe Books,Traditional,UK,UK,"Thrillers, mysteries, detective",Via website,N/A,UK,joffebooks.com,Via website,N/A,Some,Medium,"UK e-publisher"
Fahrenheit Press,Traditional,UK,UK,"Thrillers, crime novels",Via website,N/A,UK,fahrenheit-press.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Thrillers only"
Bitter Lemon Press,Traditional,London,UK,"Thrillers, crime fiction",Via website,N/A,London,bitterlemonpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"International crime"
Legend Press Crime,Traditional,UK,UK,"Crime fiction, psychological thrillers",Via website,N/A,UK,legendpress.co.uk,Via website,N/A,Unknown,High,"UK crime imprint"
Carina Press,Traditional,USA,USA,"Mysteries, thrillers, romance",Via website,N/A,N/A,carinapress.com,Via website,N/A,Unknown,High,"Harlequin digital"
Verve Books,Traditional,UK,UK,"Mystery, crime, thriller",Via website,N/A,UK,vervebooks.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"No Exit digital"
Camel Press,Traditional,USA,USA,"Mystery, suspense, cozy",Via website,N/A,N/A,camelpress.com,Epicenter imprint,N/A,NO AUDIOBOOKS,TIER 1,"Coffeetown/Epicenter"
Encircle Publications,Traditional,USA,USA,"Mainstream fiction, mystery",Via website,N/A,N/A,encirclepub.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Small press"
Felony & Mayhem,Traditional,USA,USA,"Mystery, crime reprints and originals",Via website,N/A,N/A,felonyandmayhem.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2005"
Level Best Books,Traditional,USA,USA,"Crime fiction, mystery, suspense",Via website,N/A,N/A,levelbestbooks.us,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Various crime"
Black Beacon Books,Traditional,France,Australia/France,"Mysteries, suspense, horror",Via website,N/A,France,blackbeaconbooks.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2013"
Turtle Press,Traditional,USA,USA,"Fitness, martial arts, mind-body",Via website,N/A,N/A,turtlepress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Niche fitness"
Ulysses Press,Traditional,USA,USA,"Health, fitness, niche topics",Via website,N/A,N/A,ulyssespress.com,Via website,N/A,Unknown,High,"Fast-growing"
Fair Winds Press,Traditional,Beverly MA,USA,"Nutrition, fitness, health, beauty",Via Quarto,N/A,MA,quartoknows.com,Via Quarto,N/A,Unknown,Medium,"Quarto Group"
Findhorn Press,Traditional,Scotland,UK,"Mind-body-spirit, alternative health",Via website,N/A,Scotland,findhornpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Scottish indie"
Cooper Publishing,Traditional,USA,USA,"Exercise physiology, sports medicine",Via website,N/A,N/A,cooperpublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Academic sports"
Human Kinetics,Traditional,USA,USA,"Sports, fitness, health, nutrition",Via website,N/A,N/A,humankinetics.com,Via website,N/A,Some,Medium,"Academic/consumer"
Bull Publishing,Traditional,Boulder CO,USA,"Health, nutrition, chronic disease",Via website,N/A,CO,bullpub.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Family-owned"
Crown House Publishing,Traditional,UK,UK,"NLP, hypnosis, learning, health",Via email,N/A,UK,crownhouse.co.uk,Via email,N/A,NO AUDIOBOOKS,TIER 1,"2014 Education POY"
Hohm Press,Traditional,USA,USA,"Religious studies, natural health, arts",Via website,N/A,N/A,hohmpress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Alternative culture"
Book Publishing Company,Traditional,Tennessee,USA,"Natural medicine, vegan diets, sustainability",Via website,N/A,TN,bookpubco.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1974"
Chelsea Green Publishing,Traditional,Vermont,USA,"Sustainability, food, politics, nature",Via website,N/A,VT,chelseagreen.com,Via website,N/A,Unknown,High,"Employee-owned"
Exisle Publishing,Traditional,Australia/NZ,Australia,"Health, wellbeing, nutrition, mindfulness",Via website,N/A,AU/NZ,exislepublishing.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1991"
Hammersmith Books,Traditional,London,UK,"Health professionals and public",Via website,N/A,London,hammersmithbooks.co.uk,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2009"
The Experiment,Traditional,NYC,USA,"Food, health, psychology, personal development",Via website,N/A,NYC,theexperimentpublishing.com,Via website,N/A,Unknown,High,"Workman imprint"
Copper Canyon Press,Traditional,Washington,USA,"Poetry",Via website,N/A,WA,coppercanyonpress.org,Via website,N/A,Unknown,High,"Top poetry press"
BOA Editions,Traditional,Rochester NY,USA,"Poetry",Via website,N/A,NY,boaeditions.org,Via website,20,NO AUDIOBOOKS,TIER 1,"Nonprofit poetry"
Wave Books,Traditional,Seattle WA,USA,"Innovative poetry",Via website,N/A,WA,wavepoetry.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Distinctive design"
Milkweed Editions,Nonprofit,Minneapolis MN,USA,"Fiction, poetry, essays, nature",Via website,N/A,MN,milkweed.org,Via open periods,N/A,Unknown,High,"Nonprofit literary"
Nightboat Books,Nonprofit,NYC,USA,"Poetry, experimental writing",Via website,N/A,NYC,nightboat.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2004"
Sibling Rivalry Press,Traditional,Arkansas,USA,"LGBTQ+ poetry",Via website,N/A,AR,siblingrivalrypress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2010"
Autumn House Press,Nonprofit,Pittsburgh PA,USA,"Poetry, fiction, nonfiction",Via website,N/A,PA,autumnhouse.org,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Pittsburgh nonprofit"
City Lights Books,Traditional,San Francisco CA,USA,"Poetry, fiction, political nonfiction",Via website,N/A,SF,citylights.com,Via website,12,Some,Medium,"Ginsberg publisher"
Four Way Books,Nonprofit,NYC,USA,"Poetry, short fiction",Via website,N/A,NYC,fourwaybooks.com,Via website,20,NO AUDIOBOOKS,TIER 1,"Emerging writers"
Coach House Books,Traditional,Toronto,Canada,"Poetry, fiction, drama",Via website,N/A,Toronto,chbooks.com,Via website,10,NO AUDIOBOOKS,TIER 1,"Canadian literary"
Santa Monica Press,Traditional,California,USA,"Biography, memoir, pop culture, regional",Via website,N/A,CA,santamonicapress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 1993"
Apollo Publishers,Traditional,NYC,USA,"Narrative nonfiction, memoir, topical",Via website,N/A,NYC,apollopublishers.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2016"
Mad Creek Books,Academic,Ohio,USA,"Literary nonfiction, fiction, poetry",Via website,N/A,OH,ohiostatepress.org,OSU Press imprint,N/A,NO AUDIOBOOKS,TIER 1,"OSU literary trade"
University of Texas Press,Academic,Austin TX,USA,"Nonfiction, memoir, Texas topics",Via website,N/A,TX,utpress.utexas.edu,Via website,N/A,Unknown,High,"Academic with trade"
Soft Skull Press,Traditional,Brooklyn NY,USA,"Fiction, nonfiction, memoir, biography",Via website,N/A,NY,softskull.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Counterpoint imprint"
Outpost19 Books,Traditional,San Francisco CA,USA,"Novels, memoirs, essays, reportage",Via website,N/A,SF,outpost19.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Since 2011"
Three Rooms Press,Traditional,NYC,USA,"Fiction, nonfiction, memoir, YA",Via website,N/A,NYC,threeroomspress.com,Via website,N/A,NO AUDIOBOOKS,TIER 1,"Dada, Punk, Passion"
